indicator,year,value
Skill stream | Employer Sponsored1,2015,48250.0
Skill stream | Business Innovation & Investment4,2021,10496.0
Skill stream | Business Innovation & Investment4,2022,5000.0
Skill stream | Business Innovation & Investment4,2023,1900.0
Skill stream | Business Innovation & Investment4,2024,1000.0
Skill stream | Distinguished Talent,2015,200.0
Skill stream | Distinguished Talent,2016,200.0
Skill stream | Distinguished Talent,2017,200.0
Skill stream | Distinguished Talent,2018,200.0
Skill stream | Distinguished Talent,2019,200.0
Skill stream | Distinguished Talent,2020,269.0
Skill stream | Distinguished Talent,2021,225.0
Skill stream | Distinguished Talent,2022,300.0
Skill stream | Distinguished Talent,2023,300.0
Skill stream | Distinguished Talent,2024,300.0
Skill stream | National Innovation5,2024,25.0
Skill stream | Skilled Regional6,2015,4196.0
Skill stream | Skilled Regional6,2016,1670.0
Skill stream | Skilled Regional6,2017,1574.0
Skill stream | Skilled Regional6,2018,647.0
Skill stream | Skill stream total,2015,128550.0
Skill stream | Skill stream total,2016,123567.0
Skill stream | Skill stream total,2017,111099.0
Skill stream | Skill stream total,2018,109713.0
Skill stream | Skill stream total,2019,95843.0
Skill stream | Skill stream total,2020,79620.0
Skill stream | Skill stream total,2021,89063.0
Skill stream | Skill stream total,2022,142344.0
Skill stream | Skill stream total,2023,137100.0
Skill stream | Skill stream total,2024,132148.0
Family stream | Partner7,2015,47825.0
Family stream | Partner7,2016,47825.0
Family stream | Partner7,2017,39799.0
Family stream | Partner7,2018,39918.0
Family stream | Partner7,2019,37118.0
Family stream | Partner7,2020,72376.0
Family stream | Partner7,2021,46288.0
Family stream | Partner7,2022,40500.0
Family stream | Partner7,2023,40720.0
Family stream | Partner7,2024,40500.0
Family stream | Parent,2015,8675.0
Family stream | Parent,2016,7563.0
Family stream | Parent,2017,7371.0
Family stream | Parent,2018,6805.0
Family stream | Parent,2019,4399.0
Family stream | Parent,2020,4500.0
Family stream | Parent,2021,4500.0
Family stream | Parent,2022,8500.0
Family stream | Parent,2023,8500.0
Family stream | Parent,2024,8500.0
Family stream | Child8,2022,3000.0
Family stream | Child8,2023,3000.0
Family stream | Child8,2024,3000.0
Family stream | Other Family9,2015,900.0
Family stream | Other Family9,2016,832.0
Family stream | Other Family9,2017,562.0
Family stream | Other Family9,2018,524.0
Family stream | Other Family9,2019,444.0
Family stream | Other Family9,2020,496.0
Family stream | Other Family9,2021,500.0
Family stream | Other Family9,2022,500.0
Family stream | Other Family9,2023,500.0
Family stream | Other Family9,2024,500.0
Family stream | Family stream total10,2015,57400.0
Family stream | Family stream total10,2016,56220.0
Family stream | Family stream total10,2017,47732.0
Family stream | Family stream total10,2018,47247.0
Family stream | Family stream total10,2019,41961.0
Family stream | Family stream total10,2020,77372.0
Family stream | Family stream total10,2021,51288.0
Family stream | Family stream total10,2022,52500.0
Family stream | Family stream total10,2023,52720.0
Family stream | Family stream total10,2024,52500.0
Child stream | Child stream total,2015,3512.0
Child stream | Child stream total,2016,3400.0
Child stream | Child stream total,2017,3350.0
Child stream | Child stream total,2018,3248.0
Child stream | Child stream total,2019,2481.0
Child stream | Child stream total,2020,3006.0
Child stream | Child stream total,2021,3006.0
Special Eligibility | Special Eligibility total,2015,308.0
Special Eligibility | Special Eligibility total,2016,421.0
Special Eligibility | Special Eligibility total,2017,236.0
Special Eligibility | Special Eligibility total,2018,115.0
Special Eligibility | Special Eligibility total,2019,81.0
Special Eligibility | Special Eligibility total,2020,54.0
Special Eligibility | Special Eligibility total,2021,199.0
Special Eligibility | Special Eligibility total,2022,160.0
Special Eligibility | Special Eligibility total,2023,180.0
Special Eligibility | Special Eligibility total,2024,353.0
Special Eligibility | Total10,2015,189770.0
Special Eligibility | Total10,2016,183608.0
Special Eligibility | Total10,2017,162417.0
Special Eligibility | Total10,2018,160323.0
Special Eligibility | Total10,2019,140366.0
Special Eligibility | Total10,2020,160052.0
Special Eligibility | Total10,2021,143556.0
Special Eligibility | Total10,2022,195004.0
Special Eligibility | Total10,2023,190000.0
Special Eligibility | Total10,2024,185001.0
